molecule_chembl_id,class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL269775,inactive,CC(CN1CCCCC1)OC(=O)[C@@H]1CCCN1C(=O)C(=O)C(C)(C)C,352.47500000000014,2.0101999999999998,0.0,5.0,5.0
CHEMBL6683,inactive,CC(CN1CCCCC1)OC(=O)[C@@H]1CCCN1C(=O)C(=O)c1ccccc1,372.4650000000001,2.2779,0.0,5.0,5.0
CHEMBL7237,inactive,CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,346.427,2.1635999999999997,0.0,5.0,5.0
CHEMBL269732,active,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,804.0310000000001,4.639000000000004,3.0,12.0,8.500038134403809
CHEMBL266660,inactive,CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1,395.47700000000003,1.6096999999999995,0.0,6.0,5.0
CHEMBL269154,inactive,O=C(C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1)c1ccccc1,366.41700000000003,2.4313000000000002,0.0,5.0,5.0
CHEMBL266941,inactive,CC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1,395.47700000000003,1.6096999999999995,0.0,6.0,5.0
CHEMBL413,active,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.187,6.180600000000006,3.0,13.0,8.460046158343603
CHEMBL6833,inactive,CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OC(C)CN1CCCCC1,352.4750000000002,2.0101999999999998,0.0,5.0,5.0
CHEMBL6449,inactive,CC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,346.427,2.1635999999999997,0.0,5.0,5.0
CHEMBL6809,inactive,O=C(C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1)c1ccccc1,415.4670000000001,1.8773999999999995,0.0,6.0,5.0
CHEMBL6367,inactive,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,360.454,2.553700000000001,0.0,5.0,4.68000002720016
CHEMBL411735,active,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)OC)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1021.3429999999997,8.162300000000009,3.0,13.0,8.838631997765026
